"","input","filtered","denoisedF","denoisedR","merged","nonchim","length_filter"
"DL-BAJA_136-d1-1",12835,9316,9316,9316,9316,9316,9242
"DL-BAJA_137-d1-1",16290,9046,9043,9041,9041,9041,6439
"DL-BAJA_138-d1-1",5002,297,296,295,295,295,9
"DL-BAJA_139-d1-1",5234,271,269,267,267,267,27
"DL-BAJA_140-d1-1",3864,3410,3409,3404,3404,3404,0
"DL-BAJA_141-d1-1",310,21,21,21,21,21,21
"DL-BAJA_142-d1-1",765,76,75,76,75,75,75
"DL-BAJA_143-d1-1",4762,3159,3159,3151,3109,2966,0
"DL-BAJA_144-d1-1",1388,118,112,118,112,112,78
"DL-BAJA_146-d1-1",1983,838,836,836,836,836,836
"DL-BAJA_147-d1-1",3526,1420,1418,1419,1262,1262,0
"DL-BAJA_148-d1-1",2799,674,673,673,673,673,661
"DL-BAJA_149-d1-1",1902,1295,1295,1293,1293,1020,856
"DL-BAJA_151-d1-1",20386,11303,11301,11301,11279,11279,48
"DL-BAJA_152-d1-1",749,3,3,3,0,0,0
