"Sample_name","input","filtered","denoisedF","denoisedR","merged","nonchim"
"BAJA_1",37729,37613,37492,37337,32338,29983
"BAJA_2",48037,47646,47502,47227,41059,38574
"BAJA_3",14672,14541,14441,14437,10609,10329
"BAJA_4",17935,17657,17496,17389,12935,12777
"BAJA_5",52293,51988,51866,51805,44036,42959
"BAJA_6",47951,47793,47699,47277,43842,43704
"BAJA_7",34251,34063,33937,33925,25908,25573
"BAJA_8",13610,13518,13434,13361,12749,12387
"BAJA_9",25803,25523,25340,25268,18051,17142
"BAJA_10",30021,29723,29544,29172,21616,21170
"BAJA_11",21889,21701,21514,21569,9525,9249
"BAJA_12",15028,14927,14839,14819,10996,10355
"BAJA_13",31047,30788,30548,30604,23591,22706
"BAJA_14",19665,19552,19492,19454,11884,11661
"BAJA_15",25493,25333,25174,25191,12586,12269
"BAJA_16",452910,450287,448359,447837,350049,337517
"BAJA_17",13138,13044,12894,12924,9655,9156
"BAJA_18",53818,53437,53183,53010,43789,42078
"BAJA_19",22854,22751,22644,22644,22047,20558
"BAJA_20",124,122,120,120,0,0
"BAJA_21",25936,25869,25796,25832,20744,20497
"BAJA_22",4410,4376,4371,4371,0,0
"BAJA_23",8380,8338,8329,8326,6788,6788
"BAJA_24",8253,8080,8056,8043,7433,7433
"BAJA_25",17462,17371,17325,17301,15728,15599
"BAJA_26",7967,7804,7765,7676,5492,5149
"BAJA_27",19220,19111,19022,18999,14574,14477
"BAJA_28",14452,14376,14318,14306,12911,12526
"BAJA_29",22600,22411,22274,21990,17616,16732
"BAJA_30",23599,23344,23222,23174,18850,18554
"BAJA_31",26025,25849,25696,25728,20465,17613
"BAJA_32",10500,10467,10430,10430,9865,9788
"BAJA_33",21880,21740,21670,20489,14321,14183
"BAJA_34",19823,19734,19652,19615,17565,17059
"BAJA_35",31386,31300,31136,31103,27292,26450
"BAJA_36",13668,13612,13559,13567,12435,12169
"BAJA_37",19226,19102,19016,19013,12804,12534
"BAJA_38",20083,19909,19826,19836,17038,16567
"BAJA_39",499738,495930,494946,493432,412587,386626
"BAJA_40",7817,7723,7703,7675,7163,7056
"BAJA_41",3843,3816,3785,3795,2355,2355
"BAJA_42",21775,21657,21545,21564,16627,15722
"BAJA_43",18548,18384,18210,18290,16671,16232
"BAJA_44",17504,17320,16749,16942,11297,10923
"BAJA_45",30507,30260,29984,29996,20653,18793
"BAJA_46",12302,12216,12111,12114,9439,8911
"BAJA_47",26766,26613,26513,26389,16985,16653
"BAJA_48",44690,44439,44320,44357,34388,32999
"BAJA_49",13854,13762,13704,13697,8064,8005
"BAJA_50",18709,18619,18566,18516,11492,11422
"BAJA_51",7473,7427,7399,7389,4328,4328
"BAJA_52",21655,21475,21303,21256,12285,12000
"BAJA_53",27565,27473,27429,27433,23949,23949
"BAJA_54",18497,18368,18264,18296,13924,12749
"BAJA_55",16532,16368,16251,16213,10967,10851
"BAJA_56",28128,27895,27717,27635,11955,10278
"BAJA_57",18065,17895,17670,17617,8830,8686
"BAJA_58",18492,18368,18260,18238,9987,9791
"BAJA_59",5505,5445,5409,5425,0,0
"BAJA_60",16073,15883,15761,15680,9340,9051
"BAJA_61",3409,3356,3346,3318,417,417
"BAJA_62",9969,9884,9826,9785,2548,2486
"BAJA_63",20875,20700,20493,20611,10244,9962
"BAJA_64",13125,13023,12974,12984,55,55
"BAJA_65",9796,9737,9681,9680,5917,5874
"BAJA_66",644,632,611,599,469,408
"BAJA_67",12551,12461,12291,12388,3365,3253
"BAJA_68",134,132,131,131,0,0
"BAJA_69",7377,7269,7134,7096,5395,5052
"BAJA_70",12861,12749,12683,12648,8996,8718
"BAJA_71",5493,5431,5359,5362,4052,3874
"BAJA_72",6991,6911,6870,6762,4918,4282
"BAJA_73",47091,46595,46337,46340,42919,41913
"BAJA_74",22202,22065,21999,22018,17702,17696
"BAJA_75",16482,16371,16218,16190,8216,8110
"BAJA_76",17370,17127,16891,17039,10373,10243
"BAJA_77",8795,8635,8514,8565,4165,4145
"BAJA_78",13246,13098,13007,12890,9687,9545
"BAJA_79",10586,10444,10408,10357,8020,7971
"BAJA_80",64791,63872,63502,62447,44380,41990
"BAJA_81",16576,16528,16472,16478,11854,11723
"BAJA_82",19811,19678,19587,19534,12140,12047
"BAJA_83",15689,15536,15423,15279,12462,12181
"BAJA_84",17375,17320,17280,17255,12387,12311
"BAJA_85",12478,12420,12395,12364,8637,8614
"BAJA_86",13790,13679,13630,13657,10026,9989
"BAJA_87",24456,24192,23930,23957,17325,16652
"BAJA_88",22223,21765,21667,21452,17005,16663
"BAJA_89",26431,26296,26185,26196,16995,16495
"BAJA_90",11071,10963,10876,10831,7984,7835
"BAJA_91",16536,16366,16265,16238,12343,11764
"BAJA_92",13146,12965,12808,12911,9021,8861
"BAJA_93",15857,15776,15692,15702,12735,12516
"BAJA_94",16628,16510,16427,16373,11032,10824
"BAJA_95",23803,23595,23463,23412,18718,18123
"BAJA_96",11031,10886,10801,10739,8878,8658
"BAJA_97",8572,8536,8474,8491,7068,6961
"BAJA_98",7428,7378,7367,7359,5685,5522
"BAJA_99",3171,3144,3133,3119,101,101
"BAJA_100",10288,10102,10033,9932,7567,7426
"BAJA_101",7342,7289,7236,7240,5360,5199
"BAJA_102",9245,9132,9059,8998,6961,6835
"BAJA_103",12053,11949,11809,11730,8541,8243
"BAJA_104",8475,8340,8243,8227,5083,5046
"BAJA_105",13382,13341,13323,13299,9114,8924
"BAJA_106",12060,11957,11885,11795,7890,7777
"BAJA_107",9287,9207,9129,9131,7195,7108
"BAJA_108",11015,10968,10915,10899,8235,8037
"BAJA_110",11185,11119,11011,11017,7958,7606
"BAJA_111",16149,16006,15977,15972,12869,12869
"BAJA_112",9500,9430,9381,9387,7476,7327
"BAJA_113",15192,15121,15048,15020,13585,12622
"BAJA_114",2048,2043,2034,2035,1715,1713
"BAJA_115",1243,1230,1225,1224,0,0
"BAJA_116",5448,5391,5327,5318,4116,4044
"BAJA_117",32577,32449,32393,32293,29972,29228
"BAJA_118",19403,19240,19086,19123,13559,13228
"BAJA_119",2838,2801,2790,2793,1556,1556
"BAJA_120",9440,9416,9384,9384,9352,9321
"BAJA_121",74264,72853,72691,72669,50158,49687
"BAJA_122",15125,14977,14892,14322,9603,9603
"BAJA_123",14060,13985,13896,13738,11770,11367
"BAJA_124",23756,23668,23548,23522,18201,17294
"BAJA_125",11585,11452,11411,11396,9583,9574
"BAJA_126",12992,12902,12868,12848,7350,7343
"BAJA_127",19877,19755,19637,19656,16111,15582
"BAJA_128",20360,20118,19932,19864,13966,13557
"BAJA_129",12135,12062,11998,11990,2604,2591
"BAJA_130",10459,10382,10340,10270,6316,6307
"BAJA_131",39975,39567,39411,39094,30984,29809
"BAJA_132",32820,32656,32479,32486,26125,24855
"BAJA_133",20371,20245,20171,20059,19773,19326
"BAJA_134",9870,9840,9817,9827,9488,9484
"BAJA_135",11164,11124,11110,10665,9265,9260
